Time_ns,PC1,PC2,PC3,Cluster,RMSD_A,NativeQ,Rg_A
28.0,-0.2412,-0.0129,0.0480,0,2.4242,0.5040,6.8400
28.1,-0.1680,-0.0134,-0.1760,0,2.4297,0.5068,6.8336
28.2,-0.1944,0.0243,0.0670,0,2.4907,0.5108,6.7962
28.3,-0.1265,0.1419,-0.0818,3,2.4627,0.5048,6.8790
28.4,-0.2464,0.0157,-0.1341,0,2.4993,0.5161,6.6459
28.5,-0.1863,0.0587,0.0003,0,2.3426,0.5000,6.9081
28.6,-0.2411,-0.0135,-0.0586,0,2.4190,0.5052,6.8564
28.7,-0.2326,0.0175,-0.0195,0,2.2728,0.4996,6.9266
28.8,-0.1612,0.0686,0.0757,0,2.1295,0.5083,6.8494
28.9,-0.1791,-0.0363,0.0458,0,2.3356,0.5079,6.8517
29.0,-0.2142,-0.0055,-0.0579,0,2.3083,0.5004,6.9061
29.1,-0.2185,0.0958,-0.0761,0,2.3451,0.5069,6.8360
29.2,-0.2212,0.1056,0.1750,0,2.3234,0.5031,6.8953
29.3,-0.1195,0.0935,-0.0748,0,2.5045,0.5008,6.7899
29.4,-0.1779,0.0062,-0.1056,0,2.5761,0.5056,6.7985
29.5,-0.2208,-0.0090,-0.0579,0,2.3869,0.5068,6.8384
29.6,-0.2678,-0.0659,-0.0775,0,2.3410,0.5067,6.8001
29.7,-0.2303,-0.0604,-0.1383,0,2.4075,0.5119,6.7386
29.8,-0.1260,0.1154,0.0386,0,2.3482,0.4938,7.0438
29.9,-0.2850,-0.1359,-0.2055,0,2.7880,0.4909,6.8292
30.0,-0.2380,-0.0051,0.0044,0,2.3272,0.5079,6.7952
30.1,-0.2328,-0.0307,-0.0703,0,2.4449,0.5021,6.9413
30.2,-0.2026,0.0897,0.0886,0,2.3846,0.5051,6.8320
30.3,-0.3308,0.0335,0.0294,0,2.3108,0.5113,6.7628
30.4,-0.3160,0.0224,0.1394,0,2.2298,0.5042,6.9006
30.5,-0.2225,0.0929,0.1030,0,2.2349,0.5099,6.8490
30.6,-0.1836,0.1205,0.0787,0,2.3711,0.5041,6.8821
30.7,-0.1687,0.1543,-0.0466,3,2.4070,0.5018,6.8543
30.8,-0.2201,0.0491,0.1320,0,2.2726,0.5205,6.7448
30.9,-0.1835,0.1149,0.0666,0,2.3526,0.5063,6.8641
31.0,-0.1858,0.0867,0.0736,0,2.2226,0.5116,6.8511
31.1,-0.1190,0.0636,0.1638,0,2.2701,0.5018,6.9142
31.2,-0.1667,-0.0031,-0.0016,0,2.5312,0.4960,6.9202
31.3,-0.1685,0.1019,0.1246,0,2.3705,0.5043,6.8389
31.4,-0.1468,0.1414,0.0934,3,2.2452,0.5133,6.8146
31.5,-0.2639,-0.0996,0.1329,0,2.2720,0.5191,6.7359
31.6,-0.1261,0.0615,-0.0070,0,2.3183,0.5090,6.8620
31.7,-0.2123,0.0695,-0.0540,0,2.2182,0.5101,6.8689
31.8,-0.2170,0.0374,0.0281,0,2.1477,0.5076,6.8790
31.9,0.0503,0.1885,-0.2461,3,2.3301,0.4976,7.0186
32.0,0.2555,0.4267,-0.0207,3,2.7170,0.4903,6.9908
32.1,-0.0185,0.1720,-0.1864,3,2.2045,0.5062,6.8506
32.2,-0.1440,0.2295,0.1030,3,2.1339,0.5085,6.9332
32.3,-0.2568,-0.0633,-0.1133,0,2.5208,0.5165,6.7698
32.4,-0.1434,0.1063,0.0607,0,2.3473,0.5075,6.8334
32.5,-0.1849,0.0704,0.2566,0,2.3026,0.5046,6.8912
32.6,-0.1965,0.1531,0.1345,0,2.1891,0.5111,6.8252
32.7,-0.1886,0.0650,-0.0108,0,2.3449,0.5079,6.7992
32.8,-0.0118,0.1508,-0.1111,3,2.3323,0.5138,6.7956
32.9,0.0144,0.1183,-0.2143,3,2.3427,0.5115,6.8104
33.0,-0.1884,-0.0398,-0.1816,0,2.4292,0.5021,6.9952
33.1,-0.1463,0.0300,0.0743,0,2.1560,0.5101,6.9209
